institution_name,nrmp_institution_name,parent_organization,academic_affiliate,partnership_type,n_programs_2021_2026,n_program_years_2021_2026,primary_source_urls,verification_notes,verified_date
HCA Florida JFK Hospital/U Miami,HCA Florida JFK Hosp-U Miami,HCA Healthcare (for-profit),University of Miami Miller School of Medicine (501(c)(3) nonprofit),HCA-academic GME partnership; W-2 employer = HCA but training under U Miami faculty,2,10,"https://hcafloridajfkhospitalmiamigme.com/; https://med.miami.edu/programs/gme; ACGME accreditation records for sponsoring institution",U Miami is the academic sponsor for GME programs at HCA Florida JFK; W-2 employer determines PSLF qualifying-employer status (HCA for-profit = ineligible); resident may have ambiguous status depending on appointment letter,2026-05-17
HCA Healthcare/USF Morsani GME-Largo,HCA Healthcare/USF Morsani GME-Largo,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine (501(c)(3) public),HCA-academic GME partnership branded as USF Morsani site,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education; ACGME accreditation directory",One of 10 HCA-USF Morsani GME partnership sites in Florida; USF Morsani publicly-affiliated 501(c)(3) academic medical center,2026-05-17
HCA Healthcare/USF Morsani GME-Brandon,HCA Healthcare/USF Morsani GME-Brandon,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine (501(c)(3) public),HCA-academic GME partnership branded as USF Morsani site,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education; ACGME accreditation directory",One of 10 HCA-USF Morsani GME partnership sites in Florida,2026-05-17
HCA Healthcare/USF Morsani-Bayonet Pt,HCA Healthcare/USF Morsani-Bayonet Pt,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine (501(c)(3) public),HCA-academic GME partnership branded as USF Morsani site,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education; ACGME accreditation directory",One of 10 HCA-USF Morsani GME partnership sites in Florida,2026-05-17
HCA Houston Healthcare/U Houston,HCA Houston Healthcare/U Houston,HCA Healthcare (for-profit),University of Houston Tilman J. Fertitta Family College of Medicine (501(c)(3) public),HCA-academic GME partnership; U Houston Medical School opened 2020; HCA Houston is W-2 employer,1,6,"https://www.uh.edu/medicine/about/; HCA Houston Healthcare GME pages",Newer (post-2020) HCA-academic partnership; U Houston is the academic sponsor; PSLF eligibility depends on W-2 employer (HCA for-profit),2026-05-17
HCA Florida Largo Hosp,HCA Florida Largo Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,Same as Morsani GME-Largo (alternative naming),1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",Alternative naming of HCA Healthcare/USF Morsani GME-Largo; HCA W-2 employer,2026-05-17
HCA Florida Brandon Hosp,HCA Florida Brandon Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,Same as Morsani GME-Brandon (alternative naming),1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",Alternative naming of HCA Healthcare/USF Morsani GME-Brandon; HCA W-2 employer,2026-05-17
HCA Florida Bayonet Pt Hosp,HCA Florida Bayonet Pt Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,Same as Morsani-Bayonet Pt (alternative naming),1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",Alternative naming of HCA Healthcare/USF Morsani-Bayonet Pt; HCA W-2 employer,2026-05-17
HCA Florida Trinity Hosp,HCA Florida Trinity Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,One of the HCA-USF Morsani GME partnership sites,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",HCA-USF Morsani affiliate site; HCA W-2 employer,2026-05-17
HCA Florida Oak Hill Hosp,HCA Florida Oak Hill Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,One of the HCA-USF Morsani GME partnership sites,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",HCA-USF Morsani affiliate site; HCA W-2 employer,2026-05-17
HCA Florida Citrus Hosp,HCA Florida Citrus Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,One of the HCA-USF Morsani GME partnership sites,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",HCA-USF Morsani affiliate site; HCA W-2 employer,2026-05-17
HCA Florida Citrus Pet Hosp,HCA Florida Citrus Pet Hosp,HCA Healthcare (for-profit),University of South Florida Morsani College of Medicine,One of the HCA-USF Morsani GME partnership sites,1,6,"https://www.usfhealth.org/medicine/education/graduate-medical-education",HCA-USF Morsani affiliate site (Pediatric-Citrus); HCA W-2 employer,2026-05-17
HCA Healthcare/Edward Via College,HCA Healthcare/Edward Via College,HCA Healthcare (for-profit),Edward Via College of Osteopathic Medicine VCOM (501(c)(3) nonprofit),HCA-academic GME partnership with VCOM; HCA W-2 employer,1,6,"https://www.vcom.edu/about/affiliated-programs",HCA-VCOM partnership; resident W-2 employer is HCA for-profit,2026-05-17
HCA Healthcare/Univ. of Miami,HCA Healthcare/Univ. of Miami,HCA Healthcare (for-profit),University of Miami Miller School of Medicine (501(c)(3) nonprofit),Same partnership as HCA Florida JFK Hospital/U Miami,1,6,"https://med.miami.edu/programs/gme",Alternative naming of HCA-U Miami GME partnership; HCA W-2 employer,2026-05-17
